id,eng_name,malay_name,family
164,Artocarpus dadah Miq.,"Burini (Dusun), Dadak (Iban)",
165,Artocarpus nitidus Trec.,"Burini (Dusun), Empata (Iban)",
166,Cleistanthus megacarpus C.B.Robinson,Burongoh (Dusun),
167,Tabernaemontana macrocarpa Jack,"Burut-burut (Malay), Lampada (Dusun)",
168,Cassia javanica L.,"Busuk-busuk, Barung-barung (Malay)",
169,Excoecaria agallocha L.,Buta-buta (Malay),
170,"Scaevola sericea Vahl 
( syn = Scaevola taccada (Gaertn.) Roxb.)","Butun laut (Lundu Malay, Sarawak)",
171,Sauropus androgynus (L.) Merr.,Cangkok manis (Iban),
172,Pinus caribaea Morelet,Caribai?,
173,"Magnolia champaca (L.) Baill. ex Pierre
(syn = Michelia champaca L.)",Cempaka,
174,Michelia alba DC.,Cempaka,
175,"Magnolia macklottii (Korth.) Dandy
(syn = Magnolia uvariifolia Dandy ex Noot.)",Cempaka (Malay),
176,Magnolia persuaveolens Dandy,"Cempaka (Malay), Mengolobon (Dusun)",
177,"Magnolia utilis (Dandy) V.S.Kumar
(syn = Manglietia dolichogyna Dandy ex Noot.)","Cempaka (Malay), Toton (Kelabit)",
178,"Magnolia tsiampacca subsp. mollis (Dandy) Figlar & Noot.
(syn = Elmerrillia mollis Dandy)","Cempaka bulu (?), Medang (?)",
179,Magnolia carsonii Dandy ex Noot.,"Cempaka carson (Malay), Ngaroh (Dusun, Bundu Tuhan)",
180,"Magnolia montana (Blume) Figlar
(syn = Michelia montana Blume)",Cempaka hutan (Malay),
181,Gardenia tubifera Wall. ex Roxb.,Cempaka tanjung,
182,Magnolia gigantifolia (Miq.) Noot.,Cempaka/ Cempaka hutan (Malay),
183,Vavaea amicorum Benth.,Cendana (Bajau),
184,Phyllanthus acidus Skeels,Ceramai (Malay),
185,Wikstroemia polyantha Merr.,Chandan pelanduk (Malay),
186,Mallotus mollissimus (Geiseler) Airy Shaw,Dahu/ Malatus dapulan (Malay),
