id,eng_name,malay_name,family
728,Dehaasia membranacea Kosterm.,Medang (Malay),
729,Endiandra clavigera Kosterm.,Medang (Malay),
730,"Endiandra falcata ?""",Medang (Malay),
731,Endiandra kingiana Gamble,Medang (Malay),
732,Endiandra macrophylla (Blume) Miq.,Medang (Malay),
733,Endiandra maingayi Hook.f.,Medang (Malay),
734,"Endiandra pulcherrima ?""",Medang (Malay),
735,Lindera bibracteata (Blume) Boerl.,Medang (Malay),
736,Lindera montanoides Kosterm.,Medang (Malay),
737,Lindera polyantha (Blume) Boerl.,Medang (Malay),
738,Litsea accedens (Blume) Boerl.,Medang (Malay),
739,"Litsea accedens var. kinabaluensis (Kosterm.) Ng
(syn = Litsea kinabaluensis Kosterm.)",Medang (Malay),
740,Litsea brachystachya (Blume) Boerl.,Medang (Malay),
741,Litsea cauliflora Stapf,Medang (Malay),
742,Litsea caulocarpa Merr.,Medang (Malay),
743,Litsea chewii Kosterm.,Medang (Malay),
744,Litsea cordata (Jack) Hook. f.,Medang (Malay),
745,Litsea costalis (Nees) Kosterm.,Medang (Malay),
746,Litsea crassifolia Boerl.,Medang (Malay),
747,Litsea cylindrocarpa Gamble,Medang (Malay),
748,Litsea erectinervia Kosterm.,Medang (Malay),
749,Litsea fenestrata Gamble,Medang (Malay),
750,Litsea ferruginea Blume,Medang (Malay),
751,Litsea ficoidea Kosterm.,Medang (Malay),
752,Litsea fulva Blume,Medang (Malay),
753,Litsea gracilipes Hook.f.,Medang (Malay),
754,Litsea insignis (Blume) Boerl.,Medang (Malay),
755,Litsea lanceolata (Blume) Kosterm.,Medang (Malay),
756,Litsea machilifolia Gamble,Medang (Malay),
757,Litsea mappacea (Blume) Boerl.,Medang (Malay),
758,Litsea ochracea (Blume) Boerl.,Medang (Malay),
759,Litsea robusta Blume,Medang (Malay),
760,Litsea rubicunda Kosterm.,Medang (Malay),
761,Litsea sessilis (Blume) Boerl.,Medang (Malay),
762,Litsea tomentosa Blume,Medang (Malay),
763,Litsea turfosa Kosterm.,Medang (Malay),
764,Litsea unita (Blume) Boerl.,Medang (Malay),
765,Litsea varians (Blume) Boerl.,Medang (Malay),
766,Neolitsia cassia (L.) Kosterm.,Medang (Malay),
767,Neolitsia cassiaefolia Merr.,Medang (Malay),
768,Neolitsia zeylanica (C. Nees & T. Nees) Merr.,Medang (Malay),
769,Persea declinata (Blume) Kosterm.,Medang (Malay),
770,"Persea declinata (Blume) Kosterm.
(syn = Phoebe declinata Nees)",Medang (Malay),
771,Persea rimosa (Blume) Zoll. ex Meisn.,Medang (Malay),
772,Phoebe cuneata Blume,Medang (Malay),
773,Phoebe laevis Kosterm.,Medang (Malay),
774,"Tetranthera angulata (Blume) Nees
(syn = Litsea angulata Blume)",Medang (Malay),
775,Litsea elliptica Blume,"Medang (Malay), Libas (Iban)",
776,Litsea garciae Vidal,"Medang (Malay), Talal siah (Kelabit), Engkala (Iban)",
777,Cryptocarya pulchrinervia Kosterm.,Medang daun besar (Malay),
778,Litsea grandis (Wall. ex Nees) Hook.f.,Medang daun lebar/ Medang batu (Malay),
779,Stemonurus scorpioides Becc.,Medang katok/ Hantu burok (Malay),
780,Litsea lancifolia Hook.f.,Medang kikisang (Malay),
781,Phoebe macrophylla (Blume) Blume,Medang lada/ Medang wangi (Malay),
782,"Litsea elliptica Blume
(syn = Litsea odorifera Valeton)",Medang pawas (Malay),
783,Lindera lucida (Blume) Boerl.,Medang pawas daun halus (Malay),
784,Phoebe grandis (Ness) Merr.,"Medang pawas/ Medang silau (Malay), Kayu birar (Kelabit)",
785,Litsea resinosa Blume,Medang paya/ Medang kuning (Malay),
786,Actinodaphne diversifolia Merr.,Medang payung (Malay),
787,Actinodaphne glabra Blume,Medang payung (Malay),
788,Actinodaphne glomerata (Blume) Nees,Medang payung (Malay),
789,Actinodaphne kinabaluensis Kosterm.,Medang payung (Malay),
790,Actinodaphne myriantha Merr.,Medang payung (Malay),
791,Alseodaphne elmerii Merr.,Medang payung (Malay),
792,Alseodaphne insignis Gamble,Medang payung (Malay),
793,Alseodaphne oblanceolata (Merr.) Kosterm.,Medang payung (Malay),
794,Alseodaphne umbelliflora Hook.f.,Medang payung (Malay),
795,Actinodaphne pruinosa Ness,"Medang payung (Malay), Sebuko (Kelabit), Karut (Iban)",
796,Tetractomia tetrandrum (Roxb.) Merr.,Medang rawang/ Jampang rusa (Malay),
797,Actinodaphne borneensis Meisn.,Medang serai (Malay),
798,Dehaasia incrassata (Jack) Kosterm.,"Medang sisek/ Medang teras (Malay), Medang ulu lungga (Iban)",
799,Alseodaphne bancana Miq.,Medang sisik (Malay),
800,Endiandra rubescens (Blume) Miq.,Medang sungket (Malay),
801,Mastixia pentandra Blume subsp. scortechinii (King) Matthew,Medang surungan (Malay),
802,Notaphoebe malabonga,Medang teras (Malay),
803,"Cinnamomum subcuneatum Miq.
(syn = Cinnamomum griffithii Meisn.)",Medang tiga urat (Malay),
804,Cinnamomum javanicum Blume,"Medang tiga urat (Malay), Gerawit (Kelabit)",
805,Cinnamomum iners Wall.,Medang tijah/ Medang tiga urat (Malay),
806,Beilschmiedia assamica Meisn.,Medang wangi (Malay),
807,Beilschmiedia cuadrae ?,Medang wangi (Malay),
808,Beilschmiedia glabra Kosterm.,Medang wangi (Malay),
809,Beilschmiedia kunstleri Gamble,Medang wangi (Malay),
810,Beilschmiedia lucidula (Miq.) Kosterm.,Medang wangi (Malay),
811,Beilschmiedia maingayi Hook.f.,Medang wangi (Malay),
812,Beilschmiedia micrantha Merr.,Medang wangi (Malay),
813,Beilschmiedia montanoides Kosterm.,Medang wangi (Malay),
814,Beilschmiedia pauciflora H.W.Li,Medang wangi (Malay),
815,Beilschmiedia perakensis Gamble,Medang wangi (Malay),
816,Beilschmiedia rivularis Kosterm.,Medang wangi (Malay),
817,Beilschmiedia tawaensis Merr.,Medang wangi (Malay),
818,Beilschmiedia tenuifolia ?,Medang wangi (Malay),
819,Beilschmiedia wallichiana (G.Don) Kosterm.,Medang wangi (Malay),
820,"Cinnamomum porrectum (Roxb.) Kosterm.
(syn = Cinnamomum parthenoxylon Meisn.)","Medang wangi (Malay), Bunsod (Kadazan, Bundu Tuhan)",
821,"Tristaniopsis merguensis (Griff.) Peter G.Wilson & J.T.Waterh.
(syn = Tristaniopsis grandifolia (Ridl.) P.G. Wilson & J.T. Waterh.)",Melaban ai (Iban),
822,Nephelium uncinatum Radlk. ex Leenh.,Melanyan/Raruki/Sibau darah/Titi dan (Iban),
823,Shorea agamii subsp. agamii P.S.Ashton,Melapi agama (Malay),
824,Shorea ochracea Symington,Melapi daun besar (Malay),
825,Shorea symingtonii Wood,"Melapi kuning (Malay), Melapi bunga (Malay)",
826,Shorea gratissima (Wall. ex Kurz) Dyer,Melapi laut (Malay),
827,Shorea bracteolata Dyer,Melapi pa'ang (Malay),
828,Shorea confusa P.S.Ashton,Melapi sulang saling (Malay),
829,Sterculia rubiginosa Vent.,Melebu (Iban),
830,Streblus glaber (Merr.) Corner,Melibut (Kelabit),
831,Paranephelium xestophyllum Miq.,"Membuakat, Bambakat (Dusun)",
832,Mangifera indica L.,"Mempelam (Malay), Lupi (Kelabit)",
833,Lithocarpus beccarianus (Benth.) A.Camus,Mempening (Malay),
834,Lithocarpus bennetti (Miq.) Rehder,Mempening (Malay),
835,Lithocarpus blumeanus (Korth.) Rehder,Mempening (Malay),
836,Lithocarpus bullatus Soepadmo,Mempening (Malay),
837,Lithocarpus caudatifolius (Merr.) Rehder,Mempening (Malay),
838,Lithocarpus clementianus (King ex Hook.f.) A.Camus,Mempening (Malay),
839,Lithocarpus confertus Soepadmo,Mempening (Malay),
840,Lithocarpus confragosus (King ex Hook.f.) A.Camus,Mempening (Malay),
841,Lithocarpus coopertus (Blanco) Rehder,Mempening (Malay),
842,Lithocarpus corneri S.Julia & Soepadmo,Mempening (Malay),
843,Lithocarpus daphnoideus (Blume) A.Camus,Mempening (Malay),
844,Lithocarpus dasystachyus (Miq.) Rehder,Mempening (Malay),
845,Lithocarpus echinifer (Merr.) A.Camus,Mempening (Malay),
846,Lithocarpus echinulatus Soepadmo,Mempening (Malay),
847,Lithocarpus encleisocarpus (Korth.) A.Camus,Mempening (Malay),
848,Lithocarpus ferrugineus Soepadmo,Mempening (Malay),
849,Lithocarpus hatusimae Soepadmo,Mempening (Malay),
850,Lithocarpus havilandii (Stapf) Barnett,Mempening (Malay),
851,Lithocarpus jacobsii Soepadmo,Mempening (Malay),
852,Lithocarpus kalkmanii S.Julia & Soupadmo,Mempening (Malay),
853,Lithocarpus keningauensis S.Julia & Soupadmo,Mempening (Malay),
854,Lithocarpus lampadarius (Gamble) A.Camus,Mempening (Malay),
855,Lithocarpus lucidus (Roxb.) Rehder,Mempening (Malay),
856,Lithocarpus luteus Soepadmo,Mempening (Malay),
857,Lithocarpus mariae Soepadmo,Mempening (Malay),
858,Lithocarpus meijeri Soepadmo,Mempening (Malay),
859,Lithocarpus nieuwenhuisii (Seemen) A. Camus,Mempening (Malay),
860,Lithocarpus nodosus Soepadmo,Mempening (Malay),
861,Lithocarpus oblancifolius S.Julia & Soepadmo,Mempening (Malay),
862,Lithocarpus papillifer Hatus. ex  Soepadmo,Mempening (Malay),
863,Lithocarpus porcatus Soepadmo,Mempening (Malay),
864,Lithocarpus pseudokunstleri A.Camus,Mempening (Malay),
865,Lithocarpus pulcher (King) Markgr.,Mempening (Malay),
866,Lithocarpus pusillus Soepadmo,Mempening (Malay),
867,Lithocarpus rassa (Miq.) Rehder,Mempening (Malay),
868,Lithocarpus revolutus Hatus. ex Soepadmo,Mempening (Malay),
869,Lithocarpus rigidus Soepadmo,Mempening (Malay),
870,Lithocarpus sandakanensis S.Julia & Soepadmo,Mempening (Malay),
871,Lithocarpus sericobalanos E.F.Warb.,Mempening (Malay),
872,Lithocarpus stonei S.Julia & Soepadmo,Mempening (Malay),
873,Lithocarpus sundaicus (Blume) Rehder,Mempening (Malay),
874,Lithocarpus turbinatus (Stapf) Forman,Mempening (Malay),
875,Lithocarpus urceolaris (Jack) Merr.,Mempening (Malay),
876,Lithocarpus wallichianus (Lindl. ex Hance) Rehder,Mempening (Malay),
877,Quercus chrysotricha A.Camus,Mempening (Malay),
878,Quercus gaharuensis Soepadmo,Mempening (Malay),
879,Quercus gemelliflora Blume,Mempening (Malay),
880,Quercus kinabaluensis Soepadmo,Mempening (Malay),
881,Quercus lineata Blume,Mempening (Malay),
882,Quercus lowii King,Mempening (Malay),
883,Quercus merrillii Seemen,Mempening (Malay),
884,Quercus pseudoverticillata Soepadmo,Mempening (Malay),
885,Quercus subsericea A.Camus,Mempening (Malay),
886,Quercus sumatrana Soepadmo,Mempening (Malay),
887,Quercus treubiana Seemen,Mempening (Malay),
888,Quercus valdinervosa Soepadmo,Mempening (Malay),
889,Lithocarpus ruminatus Soepadmo,"Mempening (Malay), Balak nyumbuh (Iban)",
890,Quercus elmeri Merr.,"Mempening (Malay), Lapanau (Kelabit)",
891,Quercus argentata Korth.,"Mempening (Malay), Resan/Salid reshan (Kelabit)",
892,Lithocarpus ewyckii (Korth.) Rehder,"Mempening (Malay), Salid binduro (Kelabit), Tekalit (Iban)",
893,Trigonobalanus verticillata Forman,Mempening babi (Malay),
894,Rhodamnia cinerea Jack,Mempoyan,
895,Syzygium bankense (Hassk.) Merr. & Perry,"Menderrah (Kelabit), Ubah ribu (Iban)",
896,Koompassia excelsa (Becc.) Taubert,"Mengaris, Tapang (Iban)",
897,Castanopsis psilophylla Soepadmo,"Mengarung (Dusun), Layau (Iban)",
898,Agathis lenticula de Laub.,Menggilan (Dusun),
899,Agathis borneensis Warb.,"Menggilan (Dusun), Selang (Kedayan), Periyak (Kelabit)",
900,Pertusadina euryncha (Miq.) Ridsd.,Mengkaniab,
901,Dracontomelon costatum Blume,"Mengkuang (Iban, Sarawak)",
902,Sterculia rhoidifolia Stapf ex Ridl.,Mengkulang (Malay),
903,Mimusops elengi L.,"Mengkular, Bunga tanjung (Malay)",
904,Ilex wallichii Hook. f.,Mengkulat (Malay),
905,Pemphis acidula J.R.Forst. & G.Forst.,"Mentigi (Malay, Sarawak)",
906,"Ardisia sanguinolenta Blume
(syn = Ardisia colorata Roxb.)",Mentulang (?),
907,Hydnocarpus sumatrana (Miq.) Koord.,Merabatu (Malay),
908,Carallia brachiata (Lour.) Merr.,"Meransi (Dusun), Lakae (Kelabit)",
909,Carallia sp.1,"Meransi (Malay, Brunei), Yulu tambang (Dusun)",
910,Shorea virescens Parijs,Meranti sulang sulang (in Sarawak),
911,Hopea fluvialis P.S.Ashton,Merawan air (Malay),
912,Hopea centipeda P.S.Ashton,Merawan daun berbulu (Malay),
913,Hopea bracteata Burck,Merawan ungu (Malay),
914,Atuna cordata Cockburn ex Prance,Merbatu (Malay),
915,Atuna nannodes (Kosterm.) Kosterm.,Merbatu (Malay),
916,Parinari argenteo-sericea Kosterm.,Merbatu (Malay),
917,Parinari canarioides Kosterm.,Merbatu (Malay),
918,Parinari costata Blume,Merbatu (Malay),
919,Parinari elmeri Merr.,Merbatu (Malay),
920,Parinari metallica Kosterm.,Merbatu (Malay),
921,Parinari oblongifolia Hook.f.,"Merbatu (Malay), Melalin",
922,Kostermanthus heteropetalus (Scort. ex King) Prance,Merbatu/ Rasak batu (Malay),
923,Sympetalandra borneensis Stapf,Merbau lalat (Malay),
924,Sympetalandra unijuga (Airy Shaw) Steenis,Merbau lalat (Malay),
925,Myrica esculenta Buch.-Ham.,Merbuta gunung (Malay),
926,Elaeocarpus dolichobotrys Merr.,Merecapan (Iban),
927,Ilex cissoidea Loes.,"Meregis (Dusun), Loboh (Malay), Langidan (Kelabit), Aras (Iban)",
928,Bridelia insulana Hance,Meretanak (Iban),
929,Nephelium ramboutan-ake (Labill.) Leenh.,"Meritam (Malay), Rongitom (Dusun)",
930,Hopea pachycarpa (F.Heim) Symington,Merkoyong (in Sarawak),
931,Macaranga gigantea Müll.-Arg.,"Merkubung/ Kubin, Telinga gajah (Malay), Engkerubung (Iban)",
932,Antidesma venenosum J.J.sm.,Mernyamuk (Iban),
933,Swintonia minutalata Ding Hou,Merpauh (Malay),
934,Diospyros maingayi (Heirn) Bakh.,Merpinang daun besar (Sarawak),
935,"Polyscias diversifolia (Blume) Lowry & G.M.Plunkett
(syn = Arthrophyllum diversifolium Blume)","Miampalad (Dusun Bundu Tuhan), Kepayas-kepayas (Malay, Brunei)",
936,Trigoniastrum hypoleucum Miq.,Miapa (Dusun),
937,Xanthophyllum macrophyllum Baker,Minyak Berok,
938,Xanthophyllum ellipticum Korth. ex Miq.,Minyak berok (Malay),
939,Xanthophyllum impressum Meijden,Minyak berok (Malay),
940,Xanthophyllum rufum A.W.Bennet,Minyak berok (Malay),
941,Xanthophyllum amoenum Chod.,Minyak Beruk,
942,Xanthophyllum velutinum Chodat,Minyak beruk (Malay),
943,Xanthophyllum vitellinum D.Dietr.,Minyak beruk (Malay),
944,Xanthophyllum ecarinatum Chod.,"Minyak beruk (Malay), Buah kung (Iban)",
945,Xanthophyllum adenotus Miq.,"Minyak Beruk, Manuk indu (Iban)",
946,Hydnocarpus gracilis (Slooten) Sleumer,Minyak Burok (Malay).,
947,Gonystylus maingayi Hook.f.,"Mitan (Iban), Ramin batu air (in Sarawak)",
948,Xanthophyllum purpureum Ridl.,Mnyak berok (Malay),
949,Timonius finlaysonianus Hook.f.,Mojitap,
950,Dimocarpus fumatus subsp. fumatus (Blume) Leenh.,"Mombuakat (Dusun), Maritam siah (Kelabit)",
951,Ziziphus angustifolius (Miq.) Hatusima ex Steenis,"Monsit (Dusun), Kayu labu (Malay)",
952,Artocarpus heterophyllus H.J.Lam,"Nangka (Malay), Baduk/Baduk ngarot (Kelabit)",
953,Gonystylus brunnescens Airy Shaw,Nasi-nasi pakir (Malay),
954,Memecylon laevigatum Blume,"Nipis kulit (?), obah",
955,Annona reticulata L.,Nona kapri (Malay),
956,Prunus arborea (Blume) Kalkman,"Nongking nongking, Kalamus, Marah puak (Kelabit), Enteli (Iban)",
957,Pyrenaria tawauensis H.Keng,Norigian (Dusun RNU),
958,Madhuca pallida (Burck) Baehni,Nyatoh (Malay),
959,Madhuca pubicalyx Ridl.,Nyatoh (Malay),
960,Payena leerii (Teijsm. & Binn.) Kurz,Nyatoh batu,
961,Madhuca lancifolia (Burck) H.J.Lam,"Nyatoh beludu (Iban, Sarawak)",
962,Palaquium beccarianum (Pierre) P.Royen,Nyatoh bulu (Malay),
963,Madhuca glabrescens H.J.Lam,"Nyatoh daun licin (Malay, Sarawak)",
964,Palaquium calophyllum (Teijsm. & Binn.) Pierre vel aff.,"Nyatoh dien (Bidayuh, Sarawak)",
965,Chrysophyllum roxburghii G.Don,Nyatoh empelit (Brunei),
966,Palaquium walsurifolium Pierre ex Dubard,"Nyatoh jangkar (Iban, Sarawak)",
967,Madhuca malaccensis (C.B.Clarke) H.J.Lam,Nyatoh kemayan (Malay),
968,Madhuca kingiana (Brace ex King & Gamble) H.J.Lam,Nyatoh king (Malay),
969,Madhuca cf. hirtiflora (Ridl.) H.J.Lam,"Nyatoh kusta (Iban, Sarawak)",
970,Madhuca burckiana (Koord.) H.J.Lam,Nyatoh madhuca (Malay),
971,Madhuca elmeri Merr. ex H.J.Lam,Nyatoh madhuca (Malay),
972,Madhuca endertii H.J.Lam,Nyatoh madhuca (Malay),
973,Madhuca korthalsii (Pierre ex Burck) H.J.Lam,Nyatoh madhuca (Malay),
974,Payena acuminata (Blume) Pierre,Nyatoh merah (Malay),
975,Palaquium pseudorostratum H.J.Lam,"Nyatoh paya (Malay), Nyatoh babi (Iban, Sarawak)",
976,Palaquium microphyllum King & Gamble,"Nyatoh pipit (Malay, P. Malaysia)",
977,Diploknema sebifera Pierre,Nyatoh puteh (Malay),
978,Palaquium dasyphyllum Pierre ex Dubard,Nyatoh sidang (Dusun),
979,Palaquium rostratum (Miq.) Burck,Nyatoh sidang (Malay),
980,Palaquium gutta (Hook.f.) Baill.,Nyatoh taban merah (Malay),
981,"Payena obscura Burck
(syn = Payena obscura var. obscura Burck)",Nyatoh taban putih (Malay),
982,Palaquium sericeum H.J.Lam,Nyatoh tembaga (Malay),
983,Palaquium leiocarpum Boerlage,"Nyatoh tembaga (Malay, Sarawak)",
984,Palaquium ridleyi King & Gamble,"Nyatoh terong (Iban, Sarawak)",
985,Madhuca crassipes (Pierre ex Becc.) H.J.Lam,"Nyatu timiang, Nyatoh jelutong (Malay, Sarawak)",
986,Xylocarpus granatum Koenig,Nyireh (Malay),
987,Austrobuxus nitidus Miq.,Oba sapang/ Perapat (Malay),
988,Shorea pauciflora King,Oba suluk (Malay),
989,Ardisia forbesii S.Moore,Obah,
990,"Syzygium alcinae (Merr.) Merr. & L.M.Perry
 ( syn = Syzygium leucoxylon Korth.)",Obah,
991,Syzygium attenuata (Miq.)  Merr. & L.M.Perry,Obah,
992,"Syzygium barringtonioides (Ridl.) Masam.
(syn = Cleistocalyx barringtonioides (Ridl.) Merr. & L.M.Perry)",Obah,
993,Syzygium cephalantha**,Obah,
994,Syzygium cephalophorum (Ridl.) Merr. & Perry,Obah,
995,Syzygium cerina (M.R.Henderson) I.M.Turner,Obah,
996,Syzygium chloranthum (Duthie)  Merr. & L.M.Perry,Obah,
997,Syzygium christmannii Merr. & L.M.Perry,Obah,
998,Syzygium clavatum (Korth.)  Merr. & L.M.Perry,Obah,
999,Syzygium confertum (Korth.)  Merr. & L.M.Perry,Obah,
1000,Syzygium corymbifera** ?,Obah,
1001,Syzygium cuneiforme  Merr. & L.M.Perry,Obah,
1002,Syzygium densiflora Wall.,Obah,
1003,Syzygium elliptilimba (Merr.)  Merr. & L.M.Perry,Obah,
1004,Syzygium elopurae (Ridl.)  Merr. & L.M.Perry,Obah,
1005,Syzygium filiformis (Duthie) P.Chan. & J.Parn. var. clarimyrtus (Koord. & Valeton) I.M.Turner,Obah,
1006,"Syzygium heterocladum (Merr.)  Merr. & L.M.Perry
 ( syn = Syzygium scortechinii (King) Chantaran. & J.Parn.)",Obah,
1007,Syzygium hirtum (Korth.)  Merr. & L.M.Perry,Obah,
1008,Syzygium incarnatum (Elmer)  Merr. & L.M.Perry,Obah,
1009,Syzygium jambos (L.) Alston,Obah,
1010,Syzygium kiauense (Merr.)  Merr. & L.M.Perry,Obah,
1011,Syzygium kihamense Merr. & L.M.Perry,Obah,
1012,"Syzygium nervosum A.Cunn. ex DC..
(syn = Cleistocalyx nitidus Blume)",Obah,
1013,"Syzygium perspicuinervium (Merr.) Masam.
(syn = Cleistocalyx perspicuinervius (Merr.) Merr. & L.M.Perry)",Obah,
1014,"Taonabo japonica (Thunb.) Szyszy?.
(syn = Ternstroemia japonica Thunb.)",Obah,
1015,Glochidion borneensis Boerl.,Obah nasi (Malay),
1016,Glochidion calospermum Airy Shaw,Obah nasi (Malay),
1017,Glochidion cf. williamsii C.B.Robinson,Obah nasi (Malay),
1018,Glochidion elmeri Merr.,Obah nasi (Malay),
1019,Glochidion glomerulatum (Miq.) Boerl.,Obah nasi (Malay),
1020,Glochidion insigne J.J.Sm. in Coode & Valeton,Obah nasi (Malay),
1021,Glochidion kerangae Airy Shaw,Obah nasi (Malay),
1022,Glochidion lanceilimbum Merr.,Obah nasi (Malay),
1023,Glochidion lanceisepalum Merr.,Obah nasi (Malay),
1024,Glochidion macrostigma Hook.f.,Obah nasi (Malay),
1025,Glochidion molle Blume,Obah nasi (Malay),
1026,Glochidion monostylum Airy Shaw,Obah nasi (Malay),
1027,Glochidion obscurum (Roxb. ex Willd.) Blume,Obah nasi (Malay),
1028,Glochidion philippicum (Cav.) C.B.Robinson,Obah nasi (Malay),
1029,Glochidion pubicapsa Airy Shaw,Obah nasi (Malay),
1030,Glochidion rubrum Blume,Obah nasi (Malay),
1031,Glochidion singaporense Gage,Obah nasi (Malay),
1032,Glochidion styliferum J.J.Sm.,Obah nasi (Malay),
1033,"Glochidion subfalcatum var. nitidum Chakrab. & M.Gangop.
(syn = Glochidion nitidum Merr.)",Obah nasi (Malay),
1034,Glochidion wallichianum Müll.Arg.,Obah nasi (Malay),
1035,"Glochidion zeylanicum (Gaertn.) A.Juss.
(syn = Glochidion brunneum Hook.f.)",Obah nasi (Malay),
1036,"Glochidion zeylanicum (Gaertn.) A.Juss.
(syn = Glochidion perakense Hook.f.)",Obah nasi (Malay),
1037,Glochidion lutescens Blume,"Obah nasi (Malay), Mara ba'ah (Kelabit)",
1038,Glochidion sericeum (Blume) Zoll. & Moritzi,"Obah nasi (Malay), Mara ba'oh (Kelabit)",
1039,Glochidion angulatum C.B.Robinson,"Obah nasi, Mara ba'ah (Kelabit)",
1040,"Glochidion zeylanicum var. arborescens (Blume) Chakrab. & M.Gangop.
(syn = Glochidion arborescens Blume)","Obah nasi?, Manyam meretambang (Iban)",
1041,Dimorphocalyx murinus Elmer,"Obah puth (Malay), Binsuon",
1042,Chionanthus plurifloroides Kiew,Obah putih (Malay),
1043,Dimorphocalyx muricatus (Hook.f.) Airy Shaw,Obah putih (Malay),
1044,Memecylon scolopacinum Ridl.,"Obah, Mutik (Iban)",
1045,Syzygium foxworthianum (Ridl.)  Merr. & L.M.Perry,"Obah, Ubarr beran (Kelabit), Jambu ai (Iban)",
1046,Syzygium creaghii (Ridl.)  Merr. & L.M.Perry,"Obah, Ubarr kabu (Kelabit)",
1047,Colubrina beccariana Warb.,"Odok odok (Kadazan), Obar obar (Dusun)",
1048,Hydnocarpus anomalus (Merr.) Sleumer,"Olah panjangat, Sosun anggas",
1049,Mangifera foetida Lour.,"Pacu (Malay), Lotek (Kelabit)",
1050,Engelhardia rigida Lesch. ex Blume,Pae buda (Kelabit),
1051,Palaquium cochlearifolium P.Royen,Paga (Kadazan),
1052,Ixonanthes petiolaris Blume,"Pagar anak (Malay), Ubah sempidan (Iban)",
1053,Wikstroemia ovata C.A.Mey ex Meisn.,Pait-pait (Bajau),
1054,Brucea javanica (L.) Merr.,Pait pait (Dusun),
1055,Meliosma pinnata (Roxb.) Max.,Pala ucu (Iban),
1056,Xanthophyllum flavescens Wall.,"Palampang?, Minyak Berok (Malay)",
1057,Engelhardia roxburghiana Wall.,Palang apui/Palang ta'o (Kelabit),
1058,Engelhardia spicata Lesch. ex Blume var. aeriflora (Reinw.) Koords. & Valeton,Palang pae/Pae siah/Pae buda (Kelabit),
1059,"Urophyllum arboreum (Reinw. ex Blume) Korth.
(syn = Urophyllum glabrum Jack ex Wall.)","Palek palek, Kobar (Dusun RNU), Tipuan saai",
1060,Antiaris toxicaria Lesch.,"Paliu (Dusun), Ipoh (Malay), Kayu parir (Kelabit), Kayu ipu (Iban)",
1061,Canarium decumanum Gaertn.,Pamatudon (Malay),
1062,Ganophyllum falcatum Blume,Panapok ayer (Dusun),
1063,Ixora fulgida Ridl.,"Panggie, Kiam",
1064,"Crateva religiosa G.Forst.
(syn = Crateva magna (Lour.) DC.)",Pangos/ Mempulak (Dusun),
1065,Leea indica (Burm.f.) Merr.,"Pantan-pantan, Tegimamalid (Dusun), Kemali (Iban)",
1066,Praravinia borneensis (Merr.) Bremekamp,Parak parak,
1067,Elaeocarpus pedunculatus Wall. ex Mast.,Parius-parius,
1068,Helicia excelsa (Roxb.) Blume,Pasir-pasir (Malay),
1069,Stemonurus malaccensis (Mast.) Sleumer,"Pasir-pasir (Malay, Kinabatangan), Peropot (Dusun)",
1070,Archidendron borneense (Benth.) I.C.Nielsen,Patai keryong (Malay),
1071,Mastixia rostrata Blume subsp. caudatifolia (Merr.) Matthew,"Patoli entelit (Iban, Sarawak)",
1072,Melicope luna-ankenda (Gaertn.) T.G.Hartley,"Pauh-pauh (Malay), Pau-pau (Dusun)",
1073,Irvingia malayana Oliv. ex A.W.Benn.,"Pauh kijang (Malay), Tenghilan (Kadazan Tuaran)",
1074,Sonneratia alba J.Smith,Pedada (Malay),
1075,Castanopsis hypophoenicea (Seemen) Soepadmo,"Pedayang (Dusun), Butu (Kelabit)",
1076,Anisophyllea beccariana Baill.,"Pei (Kayan, Sarawak)",
1077,Alstonia angustifolia Wall. ex A.DC.,Pelai pipit (Iban),
1078,Pentaspadon motleyi Hook.f.,"Pelajau (Malay), Lakacho (Murut), Empelanjau (Iban)",
1079,"Planchonella obovata (R.Br.) Pierre
(syn = Pouteria obovata (R.Br.) Baehni)",Pelawan-pelawan,
1080,Tristaniopsis clementis (Merr.) P.G.Wilson & J.T.Waterh.,Pelawan-pelawan,
1081,Antidesma tomentosum Blume,Pena marun (Kelabit),
1082,Calophyllum inophyllum L.,Penaga laut (Malay); Bintangor Laut,
1083,Aporosa elmeri Merr.,"Penatan (Malay), Tulangsai (Dusun)",
1084,Anisoptera laevis Ridl.,Pengiran durian (Malay),
1085,Anisoptera reticulata P.S.Ashton,Pengiran gajah (Malay),
1086,Anisoptera marginata Korth.,Pengiran kerangas (Malay),
1087,Anisoptera costata Korth.,Pengiran kesat (Malay),
1088,Anisoptera grossivenia Slooten,Pengiran kunyit (Malay),
1089,Lithocarpus leptogyne (Korth.) Soepadmo,"Pening-peningan (Kedayan), Tikalod (Dusun), Salid siah (Kelabit)",
1090,Elateriospermum tapos Airy Shaw,"Perah ikan (Malay), Senumpul (Iban)",
1091,Ficus schwarzii Koord.,Peranak (Dusun),
1092,Acer laurinum Hassk.,Perdu (Malay),
1093,Elaeocarpus clementis Merr.,Peredu amat (Iban),
1094,Elaeocarpus clementis Merr. var. borneensis (Ridl.) Coode,Peredu padi (Iban),
1095,Sonneratia caseolaris (L.) Engl.,Perepat (Malay),
1096,Erythroxylum cuneatum (Miq.) Kurz,Perepat burong (Malay),
1097,Combretocarpus rotuodatus (Miq.) Danser,"Perepat paya (Malay), Perepat perepat (Bajau)",
